GEO.id,GEO.id2,Geography,Estimate; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over
0500000US48239,48239,"Jackson County, Texas",755,1766,1788,1802,1128,902,1282,778,351
0500000US48241,48241,"Jasper County, Texas",2060,3933,4140,4753,2747,2126,3724,1935,716
0500000US48243,48243,"Jeff Davis County, Texas",35,179,227,282,127,229,508,169,23
0500000US48245,48245,"Jefferson County, Texas",18864,36923,31527,33527,16981,14329,18289,10968,4584
0500000US48247,48247,"Jim Hogg County, Texas",369,572,608,395,280,427,631,302,59
0500000US48249,48249,"Jim Wells County, Texas",2695,5486,4784,4931,2366,2345,3305,1801,737
0500000US48251,48251,"Johnson County, Texas",9691,19809,20550,22027,10729,8359,12831,5891,2089
0500000US48253,48253,"Jones County, Texas",1637,3627,3179,2833,1375,945,1649,820,391
0500000US48255,48255,"Karnes County, Texas",1292,2662,1984,1841,941,717,1105,712,349
0500000US48257,48257,"Kaufman County, Texas",6227,14408,15675,15392,7237,5865,8240,3675,1237
0500000US48259,48259,"Kendall County, Texas",2018,3367,4792,5583,2842,2836,4324,2255,869
0500000US48261,48261,"Kenedy County, Texas",40,75,48,84,40,14,56,19,13
0500000US48263,48263,"Kent County, Texas",15,78,51,77,54,48,121,24,45
0500000US48265,48265,"Kerr County, Texas",2979,4981,4519,6097,3736,3692,6997,4403,2034
0500000US48267,48267,"Kimble County, Texas",149,335,420,515,401,424,748,388,226
0500000US48269,48269,"King County, Texas",7,61,29,46,28,13,20,11,3
0500000US48271,48271,"Kinney County, Texas",192,433,392,569,329,219,355,143,125
0500000US48273,48273,"Kleberg County, Texas",4674,4446,3205,2978,1521,1475,2356,1352,349
0500000US48275,48275,"Knox County, Texas",216,385,423,429,266,225,364,329,83
0500000US48277,48277,"Lamar County, Texas",3159,5681,5913,6589,3387,2912,5213,2768,1061
0500000US48279,48279,"Lamb County, Texas",807,1580,1470,1659,841,775,1096,832,292
0500000US48281,48281,"Lampasas County, Texas",1018,2146,2615,2742,1321,1471,2135,1097,380
0500000US48283,48283,"La Salle County, Texas",556,1390,725,892,293,427,611,376,70
0500000US48285,48285,"Lavaca County, Texas",1034,1947,1970,2569,1268,1530,2226,1450,662
0500000US48287,48287,"Lee County, Texas",923,1630,2054,2237,1209,1318,1615,887,335
0500000US48289,48289,"Leon County, Texas",826,1549,1882,1964,1298,1212,2356,1055,503
0500000US48291,48291,"Liberty County, Texas",5602,10771,10157,10760,5200,4407,6317,2800,962
0500000US48293,48293,"Limestone County, Texas",1616,2765,2753,2987,1603,1567,2352,1295,439
0500000US48295,48295,"Lipscomb County, Texas",163,544,341,456,234,210,232,180,84
0500000US48297,48297,"Live Oak County, Texas",565,1669,1521,1496,789,799,1357,681,330
0500000US48299,48299,"Llano County, Texas",751,1441,1468,2458,1471,1984,3731,2239,759
0500000US48301,48301,"Loving County, Texas",3,0,12,2,24,10,19,0,0
0500000US48303,48303,"Lubbock County, Texas",37800,42946,32577,32171,16562,13665,19075,11114,4446
0500000US48305,48305,"Lynn County, Texas",296,637,637,798,384,336,480,346,94
0500000US48307,48307,"McCulloch County, Texas",315,882,972,1043,449,694,1061,558,166
0500000US48309,48309,"McLennan County, Texas",26151,30928,27015,28445,14594,12626,17701,10335,4589
0500000US48311,48311,"McMullen County, Texas",33,123,67,35,43,18,117,44,27
0500000US48313,48313,"Madison County, Texas",1798,2787,2124,1473,772,701,1111,666,232
0500000US48315,48315,"Marion County, Texas",360,1009,1094,1511,766,968,1384,797,229
0500000US48317,48317,"Martin County, Texas",402,664,617,749,235,277,439,155,85
0500000US48319,48319,"Mason County, Texas",176,459,298,629,392,262,727,283,49
0500000US48321,48321,"Matagorda County, Texas",2381,4354,3955,4774,2286,2803,3107,1890,652
0500000US48323,48323,"Maverick County, Texas",4628,7011,6899,6234,2904,2430,3637,2218,543
0500000US48325,48325,"Medina County, Texas",3333,5652,5645,6779,3474,2836,4362,2196,788
0500000US48327,48327,"Menard County, Texas",85,315,201,308,103,131,292,115,79
0500000US48329,48329,"Midland County, Texas",11692,26275,18825,18404,9541,7970,8357,5079,2323
0500000US48331,48331,"Milam County, Texas",1404,2455,2542,3229,1572,1799,2686,1460,603
0500000US48333,48333,"Mills County, Texas",147,289,494,537,298,374,642,494,179
0500000US48335,48335,"Mitchell County, Texas",950,1561,1331,1013,575,410,740,340,186
0500000US48337,48337,"Montague County, Texas",960,2071,2014,2649,1403,1254,2366,1355,467
0500000US48339,48339,"Montgomery County, Texas",30868,65426,71498,73404,34067,29477,39460,16920,6218
0500000US48341,48341,"Moore County, Texas",1653,3081,2769,2609,1028,1171,1198,660,288
0500000US48343,48343,"Morris County, Texas",615,1463,1420,1485,901,1062,1281,851,373
0500000US48345,48345,"Motley County, Texas",74,97,62,133,52,49,178,103,33
0500000US48347,48347,"Nacogdoches County, Texas",8710,7837,6713,7052,4220,3047,4767,2373,1245
0500000US48349,48349,"Navarro County, Texas",2758,5561,5780,6320,3175,2814,4592,2306,898
0500000US48351,48351,"Newton County, Texas",985,1453,1541,1816,775,1207,1495,824,180
0500000US48353,48353,"Nolan County, Texas",832,1722,1690,1865,1042,917,1428,707,420
0500000US48355,48355,"Nueces County, Texas",26926,51611,43493,44818,23272,19682,26503,14251,5509
0500000US48357,48357,"Ochiltree County, Texas",625,1344,1407,1266,637,466,618,369,67
