GEO.id,GEO.id2,Geography,Total population,Total population - Hispanic or Latino (of any race),Total population - Not Hispanic or Latino,Total population - Not Hispanic or Latino - White alone,Total population - Not Hispanic or Latino - Black or African American alone,Total population - Not Hispanic or Latino - Asian alone
0500000US48231,48231,"Hunt County, Texas",89068,13218,75850,65367,7325,1084
0500000US48233,48233,"Hutchinson County, Texas",21782,4830,16952,15613,466,127
0500000US48235,48235,"Irion County, Texas",1631,379,1252,1211,0,0
0500000US48237,48237,"Jack County, Texas",8866,1408,7458,6952,388,4
0500000US48239,48239,"Jackson County, Texas",14678,4640,10038,8803,1030,29
0500000US48241,48241,"Jasper County, Texas",35640,2322,33318,26573,5902,219
0500000US48243,48243,"Jeff Davis County, Texas",2221,797,1424,1379,12,18
0500000US48245,48245,"Jefferson County, Texas",252993,47963,205030,107034,84956,8950
0500000US48247,48247,"Jim Hogg County, Texas",5218,4701,517,506,0,0
0500000US48249,48249,"Jim Wells County, Texas",41486,33159,8327,7736,253,164
0500000US48251,48251,"Johnson County, Texas",157544,31135,126409,117123,3919,1152
0500000US48253,48253,"Jones County, Texas",19944,5354,14590,11130,2870,63
0500000US48255,48255,"Karnes County, Texas",14984,7818,7166,5768,1352,20
0500000US48257,48257,"Kaufman County, Texas",111830,21428,90402,75630,11127,1117
0500000US48259,48259,"Kendall County, Texas",39010,8732,30278,29055,269,301
0500000US48261,48261,"Kenedy County, Texas",558,397,161,160,0,1
0500000US48263,48263,"Kent County, Texas",667,116,551,545,3,0
0500000US48265,48265,"Kerr County, Texas",50505,12966,37539,35511,742,447
0500000US48267,48267,"Kimble County, Texas",4453,1007,3446,3386,1,0
0500000US48269,48269,"King County, Texas",274,64,210,210,0,0
0500000US48271,48271,"Kinney County, Texas",3578,2237,1341,1338,3,0
0500000US48273,48273,"Kleberg County, Texas",31877,22935,8942,6842,1159,634
0500000US48275,48275,"Knox County, Texas",3807,1235,2572,2300,247,2
0500000US48277,48277,"Lamar County, Texas",49626,3589,46037,37352,6044,395
0500000US48279,48279,"Lamb County, Texas",13561,7318,6243,5524,501,73
0500000US48281,48281,"Lampasas County, Texas",20357,3808,16549,14934,727,191
0500000US48283,48283,"La Salle County, Texas",7319,6123,1196,987,87,10
0500000US48285,48285,"Lavaca County, Texas",19654,3484,16170,14658,1309,80
0500000US48287,48287,"Lee County, Texas",16754,3873,12881,10700,1934,86
0500000US48289,48289,"Leon County, Texas",16923,2365,14558,12968,1220,84
0500000US48291,48291,"Liberty County, Texas",78598,16282,62316,52544,8011,513
0500000US48293,48293,"Limestone County, Texas",23469,4881,18588,14015,4144,147
0500000US48295,48295,"Lipscomb County, Texas",3507,1023,2484,2364,13,13
0500000US48297,48297,"Live Oak County, Texas",11976,4542,7434,6699,342,279
0500000US48299,48299,"Llano County, Texas",19624,1876,17748,17160,255,67
0500000US48301,48301,"Loving County, Texas",76,12,64,55,0,0
0500000US48303,48303,"Lubbock County, Texas",294682,99863,194819,162620,20186,5843
0500000US48305,48305,"Lynn County, Texas",5723,2711,3012,2815,107,18
0500000US48307,48307,"McCulloch County, Texas",8242,2551,5691,5206,197,0
0500000US48309,48309,"McLennan County, Texas",243394,61161,182233,139471,34520,3766
0500000US48311,48311,"McMullen County, Texas",671,323,348,342,0,0
0500000US48313,48313,"Madison County, Texas",13843,3071,10772,7752,2534,110
0500000US48315,48315,"Marion County, Texas",10191,390,9801,7220,2422,86
0500000US48317,48317,"Martin County, Texas",5451,2514,2937,2862,38,0
0500000US48319,48319,"Mason County, Texas",4064,1013,3051,2908,1,110
0500000US48321,48321,"Matagorda County, Texas",36719,14927,21792,16681,3776,778
0500000US48323,48323,"Maverick County, Texas",56830,54242,2588,1578,48,302
0500000US48325,48325,"Medina County, Texas",47920,24367,23553,21622,1004,248
0500000US48327,48327,"Menard County, Texas",2163,852,1311,1218,27,0
0500000US48329,48329,"Midland County, Texas",155817,65856,89961,75541,9175,2638
0500000US48331,48331,"Milam County, Texas",24372,6158,18214,15495,2018,130
0500000US48333,48333,"Mills County, Texas",4871,832,4039,4007,15,3
0500000US48335,48335,"Mitchell County, Texas",8995,3528,5467,4353,914,75
0500000US48337,48337,"Montague County, Texas",19384,2021,17363,16790,19,15
0500000US48339,48339,"Montgomery County, Texas",518849,116429,402420,356462,22110,13244
0500000US48341,48341,"Moore County, Texas",22186,11827,10359,7544,611,1886
0500000US48343,48343,"Morris County, Texas",12653,1108,11545,8304,3046,14
0500000US48345,48345,"Motley County, Texas",1022,114,908,883,3,0
0500000US48347,48347,"Nacogdoches County, Texas",65556,12238,53318,39447,11600,1130
0500000US48349,48349,"Navarro County, Texas",48177,12347,35830,27913,6431,299
0500000US48351,48351,"Newton County, Texas",14138,479,13659,10397,2984,58
0500000US48353,48353,"Nolan County, Texas",15017,5379,9638,8672,810,55
0500000US48355,48355,"Nueces County, Texas",355667,222473,133194,109553,12914,6305
0500000US48357,48357,"Ochiltree County, Texas",10577,5517,5060,4802,9,18
0500000US48359,48359,"Oldham County, Texas",2069,335,1734,1518,107,3
0500000US48361,48361,"Orange County, Texas",83751,5709,78042,68496,6809,886
0500000US48363,48363,"Palo Pinto County, Texas",27922,5470,22452,21142,638,136
0500000US48365,48365,"Panola County, Texas",23771,2025,21746,17507,3915,126
0500000US48367,48367,"Parker County, Texas",123601,13788,109813,104775,1813,734
0500000US48369,48369,"Parmer County, Texas",9921,6127,3794,3537,146,21
0500000US48371,48371,"Pecos County, Texas",15826,10789,5037,4176,677,32
0500000US48373,48373,"Polk County, Texas",46583,6654,39929,33214,4893,274
0500000US48375,48375,"Potter County, Texas",121883,45287,76596,55999,11027,6081
0500000US48377,48377,"Presidio County, Texas",7144,5843,1301,1058,0,243
0500000US48379,48379,"Rains County, Texas",11087,932,10155,9533,264,37
0500000US48381,48381,"Randall County, Texas",128603,24941,103662,95556,3392,2019
0500000US48383,48383,"Reagan County, Texas",3625,2392,1233,1158,62,0
0500000US48385,48385,"Real County, Texas",3348,658,2690,2681,5,1
0500000US48387,48387,"Red River County, Texas",12455,896,11559,9125,2168,5
0500000US48389,48389,"Reeves County, Texas",14438,10801,3637,2661,627,156
0500000US48391,48391,"Refugio County, Texas",7315,3608,3707,3128,347,9
0500000US48393,48393,"Roberts County, Texas",939,27,912,900,0,4
0500000US48395,48395,"Robertson County, Texas",16537,3273,13264,9619,3311,48
0500000US48397,48397,"Rockwall County, Texas",88010,14720,73290,64065,4821,2115
0500000US48399,48399,"Runnels County, Texas",10411,3485,6926,6543,140,139
0500000US48401,48401,"Rusk County, Texas",53197,8439,44758,34553,9146,288
0500000US48403,48403,"Sabine County, Texas",10367,398,9969,8951,734,16
0500000US48405,48405,"San Augustine County, Texas",8556,576,7980,5883,1855,7
0500000US48407,48407,"San Jacinto County, Texas",27172,3341,23831,20399,2731,178
0500000US48409,48409,"San Patricio County, Texas",66706,37428,29278,26751,1083,640
0500000US48411,48411,"San Saba County, Texas",5881,1717,4164,3880,191,19
0500000US48413,48413,"Schleicher County, Texas",3171,1616,1555,1538,8,7
0500000US48415,48415,"Scurry County, Texas",17314,6783,10531,9415,820,57
0500000US48417,48417,"Shackelford County, Texas",3323,382,2941,2850,5,7
0500000US48419,48419,"Shelby County, Texas",25705,4523,21182,16111,4533,353
0500000US48421,48421,"Sherman County, Texas",3069,1290,1779,1739,14,0
0500000US48423,48423,"Smith County, Texas",219745,40831,178914,133593,38577,3315
0500000US48425,48425,"Somervell County, Texas",8673,1657,7016,6843,45,0
0500000US48427,48427,"Starr County, Texas",63008,62352,656,479,29,47
0500000US48429,48429,"Stephens County, Texas",9787,2284,7503,7040,246,42
0500000US48431,48431,"Sterling County, Texas",1233,465,768,752,3,0
0500000US48433,48433,"Stonewall County, Texas",1233,284,949,887,54,0
0500000US48435,48435,"Sutton County, Texas",3936,2297,1639,1603,3,0
0500000US48437,48437,"Swisher County, Texas",7639,3242,4397,3696,437,16
0500000US48439,48439,"Tarrant County, Texas",1947529,541947,1405582,957988,298394,97150
0500000US48441,48441,"Taylor County, Texas",135234,31634,103600,88085,9949,2577
0500000US48443,48443,"Terrell County, Texas",778,542,236,223,10,0
0500000US48445,48445,"Terry County, Texas",12724,6761,5963,5273,584,0
0500000US48447,48447,"Throckmorton County, Texas",1520,230,1290,1232,5,8
0500000US48449,48449,"Titus County, Texas",32592,13518,19074,15316,2989,272
0500000US48451,48451,"Tom Green County, Texas",116264,44253,72011,64113,4645,1457
0500000US48453,48453,"Travis County, Texas",1148176,387357,760819,570282,90819,70373
0500000US48455,48455,"Trinity County, Texas",14360,1302,13058,11397,1422,44
0500000US48457,48457,"Tyler County, Texas",21371,1549,19822,17040,2281,76
0500000US48459,48459,"Upshur County, Texas",40295,3091,37204,32618,3483,196
0500000US48461,48461,"Upton County, Texas",3475,1823,1652,1448,163,9
0500000US48463,48463,"Uvalde County, Texas",27055,19059,7996,7455,18,305
0500000US48465,48465,"Val Verde County, Texas",48862,39538,9324,8042,547,180
0500000US48467,48467,"Van Zandt County, Texas",53070,5316,47754,44903,1348,236
0500000US48469,48469,"Victoria County, Texas",90989,41372,49617,41882,5166,1183
0500000US48471,48471,"Walker County, Texas",69926,12313,57613,40041,16076,827
0500000US48473,48473,"Waller County, Texas",47049,13657,33392,20303,11734,377
0500000US48475,48475,"Ward County, Texas",11396,5856,5540,4809,548,26
0500000US48477,48477,"Washington County, Texas",34544,5208,29336,22379,5827,668
0500000US48479,48479,"Webb County, Texas",266006,253982,12024,9264,717,1387
0500000US48481,48481,"Wharton County, Texas",41377,16401,24976,18941,5743,39
0500000US48483,48483,"Wheeler County, Texas",5642,1493,4149,3859,150,22
0500000US48485,48485,"Wichita County, Texas",132148,24012,108136,88177,13047,2752
0500000US48487,48487,"Wilbarger County, Texas",13061,3664,9397,7859,1152,69
0500000US48489,48489,"Willacy County, Texas",21944,19270,2674,2442,121,19
0500000US48491,48491,"Williamson County, Texas",490619,116943,373676,302516,29923,28128
0500000US48493,48493,"Wilson County, Texas",46444,17999,28445,26978,619,116
0500000US48495,48495,"Winkler County, Texas",7723,4516,3207,2921,198,27
0500000US48497,48497,"Wise County, Texas",62089,11425,50664,48431,726,267
0500000US48499,48499,"Wood County, Texas",43198,4061,39137,36070,2176,250
0500000US48501,48501,"Yoakum County, Texas",8316,5285,3031,2850,0,23
0500000US48503,48503,"Young County, Texas",18275,3229,15046,14456,230,87
0500000US48505,48505,"Zapata County, Texas",14335,13492,843,841,2,0
0500000US48507,48507,"Zavala County, Texas",12107,11299,808,702,72,5
