GEO.id,GEO.id2,Geography,SEX AND AGE - Total population,SEX AND AGE - Total population - Male,SEX AND AGE - Total population - Female
0500000US48401,48401,"Rusk County, Texas",53197,27866,25331
0500000US48403,48403,"Sabine County, Texas",10367,5131,5236
0500000US48405,48405,"San Augustine County, Texas",8556,4174,4382
0500000US48407,48407,"San Jacinto County, Texas",27172,13260,13912
0500000US48409,48409,"San Patricio County, Texas",66706,33444,33262
0500000US48411,48411,"San Saba County, Texas",5881,3076,2805
0500000US48413,48413,"Schleicher County, Texas",3171,1615,1556
0500000US48415,48415,"Scurry County, Texas",17314,9353,7961
0500000US48417,48417,"Shackelford County, Texas",3323,1655,1668
0500000US48419,48419,"Shelby County, Texas",25705,12614,13091
0500000US48421,48421,"Sherman County, Texas",3069,1609,1460
0500000US48423,48423,"Smith County, Texas",219745,106129,113616
0500000US48425,48425,"Somervell County, Texas",8673,4265,4408
0500000US48427,48427,"Starr County, Texas",63008,30589,32419
0500000US48429,48429,"Stephens County, Texas",9787,5291,4496
0500000US48431,48431,"Sterling County, Texas",1233,651,582
0500000US48433,48433,"Stonewall County, Texas",1233,619,614
0500000US48435,48435,"Sutton County, Texas",3936,2094,1842
0500000US48437,48437,"Swisher County, Texas",7639,3964,3675
0500000US48439,48439,"Tarrant County, Texas",1947529,953334,994195
0500000US48441,48441,"Taylor County, Texas",135234,66259,68975
0500000US48443,48443,"Terrell County, Texas",778,376,402
0500000US48445,48445,"Terry County, Texas",12724,6764,5960
0500000US48447,48447,"Throckmorton County, Texas",1520,709,811
0500000US48449,48449,"Titus County, Texas",32592,16017,16575
0500000US48451,48451,"Tom Green County, Texas",116264,57521,58743
0500000US48453,48453,"Travis County, Texas",1148176,578199,569977
0500000US48455,48455,"Trinity County, Texas",14360,6844,7516
0500000US48457,48457,"Tyler County, Texas",21371,11624,9747
0500000US48459,48459,"Upshur County, Texas",40295,19908,20387
0500000US48461,48461,"Upton County, Texas",3475,1688,1787
0500000US48463,48463,"Uvalde County, Texas",27055,13221,13834
0500000US48465,48465,"Val Verde County, Texas",48862,24804,24058
0500000US48467,48467,"Van Zandt County, Texas",53070,26096,26974
0500000US48469,48469,"Victoria County, Texas",90989,44622,46367
0500000US48471,48471,"Walker County, Texas",69926,40883,29043
0500000US48473,48473,"Waller County, Texas",47049,23520,23529
0500000US48475,48475,"Ward County, Texas",11396,5668,5728
0500000US48477,48477,"Washington County, Texas",34544,17235,17309
0500000US48479,48479,"Webb County, Texas",266006,129588,136418
0500000US48481,48481,"Wharton County, Texas",41377,20325,21052
0500000US48483,48483,"Wheeler County, Texas",5642,2866,2776
0500000US48485,48485,"Wichita County, Texas",132148,68567,63581
0500000US48487,48487,"Wilbarger County, Texas",13061,6502,6559
0500000US48489,48489,"Willacy County, Texas",21944,11652,10292
0500000US48491,48491,"Williamson County, Texas",490619,241189,249430
0500000US48493,48493,"Wilson County, Texas",46444,23309,23135
0500000US48495,48495,"Winkler County, Texas",7723,3959,3764
0500000US48497,48497,"Wise County, Texas",62089,31097,30992
0500000US48499,48499,"Wood County, Texas",43198,21423,21775
0500000US48501,48501,"Yoakum County, Texas",8316,4228,4088
0500000US48503,48503,"Young County, Texas",18275,8997,9278
0500000US48505,48505,"Zapata County, Texas",14335,7185,7150
0500000US48507,48507,"Zavala County, Texas",12107,6087,6020
